text,labels,
那 想 Ｃ hin ａ ☆ 虚伪 世界  没,negative,
男人 sb,negative,
难受 就 hi 歌,negative,
嗯 好 sb,negative,
尼玛 签到 sb,negative,
欧阳克 好 刺眼 厉害 v 看,negative,
拍咯 卡密 就 不 GV 头发 传染 邪恶 咋 武器,negative,
骗人 Face,negative,
坪地 MM 女王  机器人 无语,negative,
欺负 rem,negative,
抢劫 ENT 小贝 贝,negative,
抢劫 l Iike Her,negative,
抢劫 QQ号 码,negative,
抢劫 q 号,negative,
抢劫 Q 号,negative,
抢劫 じ ☆ ve 雨哥,negative,
抢劫 寶山 泰迪 COFFEE,negative,
抢劫 寶山 泰迪 COFFEE ,negative,
抢劫 对方 QQ,negative,
抢劫 关买 黄瓜 P 事 机器人,negative,
抢劫 小智 haoa,negative,
穷酸 dog 真可笑,negative,
求 晕倒 O,negative,
去 kao yixia,negative,
去死吧 傻B,negative,
入侵 小 i 系统,negative,
三年 内 谁 打击 v,negative,
傻B,negative,
傻B,negative,
傻B 才 听不懂,negative,
傻B 呢,negative,
傻B 小智,negative,
傻B 哟 哟 哟,negative,
傻B 用 英语 说,negative,
傻子 小 i,negative,
神经 傻B,negative,
谁 进 阿飞 奶水 v 百度搜,negative,
谁 说 sb … … … 擦,negative,
说 呢 sb,negative,
说 小 i 啦 怎么 这么 笨蛋 呢 连 自己 妈妈 都 不知,negative,
说 小 Q 坏蛋,negative,
说 小金 傻B,negative,
送 个 字 gun,negative,
他 sb,negative,
太 jb 恶心,negative,
危机重重 Face  估计 不行,negative,
为什么 查询 QQ 会员 总是 失败,negative,
为什么 还 被 sb an,negative,
为什么 讨厌 xyq,negative,
我们 一起 说 大神 坏话 b,negative,
我们 一起 说瑜洁 坏话 b,negative,
无语 a,negative,
无语 O __ O …,negative,
无知 i  还有 多少 金币,negative,
小 BB 太 不人道,negative,
小 i 笨蛋,negative,
小 i 我狠 不 开心,negative,
小 Q 笨蛋,negative,
小 Q 个 死 基佬 真 没用,negative,
小 Q 秘书  真的 很 讨厌 机器人,negative,
小 Q 欺负,negative,
小 Q 傻子,negative,
小 Q 失恋 啦,negative,
小金 sb,negative,
小金 不 喜欢 tfboys,negative,
小希 又 傻B,negative,
小智 sb,negative,
小智 傻B,negative,
心软 脾气 硬 i  那个,negative,
丫头 老是 用 这个 敷衍 dig,negative,
要死 ╭ ° A ° ╮,negative,
一个 sb,negative,
应该 叫 他 sb,negative,
有人 说 sb,negative,
再 SB 也 没有 猥琐 SB,negative,
再 违规 我该 T 人,negative,
怎么 抄袭 lol,negative,
这 sb 只 知道 中国,negative,
这个 b 还 叫 不要 说 脏话 猜,negative,
这个 Q 不 真实,negative,
这 傻B,negative,
这 谁 微信 xiaomm  太 大胆,negative,
这种 傻B 就 带头 闹事,negative,
真 sb,negative,
真TM 能 BB,negative,
只不过 人 不是 sb 机器,negative,
只会 装b,negative,
昨天 出 W 粉 莫名其妙 不见,negative,
AAAAAA 美女,positive,
Accompa ╮ ° 哎 呦 哒 晚安,positive,
amp 什么样 地 男人 招 人 喜欢,positive,
baby 喜欢 嘛,positive,
bot 不灵 还 得 人 哈哈,positive,
by 冰吻  你好 漂亮,positive,
cool 组队 插件,positive,
DL 丶 无非  果断 分解,positive,
END 直接 升级,positive,
en 只要 长得 漂亮,positive,
GG 对酒当歌  好 笑,positive,
GG 对酒当歌  喝汤,positive,
GG 乖乖,positive,
gg 管理 觅 知音  海边 钓鱼,positive,
gg 管理 觅 知音  找到 心仪,positive,
GG 情人,positive,
GG 情人  打 他,positive,
gly 喜欢,positive,
G 晚上   都 不错,positive,
Happy Tree Friends 主要 人物,positive,
hi 美女,positive,
ito Kuroba 签 成功 获得 奖励 积分,positive,
Karry 皇 七  美女,positive,
lcy 喜欢 gly 觉得 怎么样,positive,
l 喜欢 孤独 .. 成功 人 总是 孤独,positive,
MD 连 个 会员 都 不 给 别人 开,positive,
mm 阿里 雪  本来 就是 美女,positive,
mm 岛主 伊人  晚安,positive,
mm 管理 奔驰,positive,
mm 管理 奔驰  等 下马 上,positive,
mm 管理 奔驰  嗯 下午 出去玩,positive,
mm 管理 奔驰  少而精,positive,
mm 管理 奔驰  爽,positive,
mm 管理 奔驰  他 关心,positive,
mm 管理 奔驰  我开 宝马 去,positive,
mm 管理 奔驰  谢谢,positive,
mm 管理 奔驰  也 真的 位置,positive,
mm 管理 青花瓷  温柔 女人,positive,
mm 管理 言雨  明 事理 俺 更 喜欢,positive,
mm 素素  给 自信,positive,
mm 素素  美女 好,positive,
mm 素素  真 靓女,positive,
mm 优雅  叫 情人 买 就是 咯,positive,
MM 媛 媛  祝贺 生日快乐,positive,
MV 不错 呐 ☺,positive,
mx 时候 感觉 真心 最好 一代,positive,
MZ k 男 A 妻 同甘共苦 Xi,positive,
M 何必 动芯  小龙女 最 忠诚,positive,
M 机器人  备用  说 喜欢,positive,
M 女 汉子  情人 谁,positive,
NB A 各项 记录,positive,
No 这 叫 开心,positive,
O ∩ ∩ O 哈哈,positive,
O 聪明,positive,
O 姐是 不要 彩礼 中国 好 姑娘 的话 太多 决定 暂时 不理,positive,
⊙ o ⊙ 哦 这 都 懂 不错 不错,positive,
PK 成功,positive,
positive,positive,
P 嘿嘿,positive,
QQ 等级 升级,positive,
SS 高级 中级 分解 嘿嘿,positive,
tfboys 里 喜欢 谁,positive,
TFBOYS 里 最 喜欢 谁,positive,
TFBOYS 最 喜欢 谁,positive,
thank you very much 呵呵 真的 太 幽默,positive,
u 粗犷,positive,
V 高阶 元帅 号  交易 有意者 联系 Q 详谈,positive,
v 句 v 哈哈 白白净净 吧,positive,
XX 威武,positive,
x 等于  x 解是 几,positive,
x 或者 x x x 倍 都,positive,
x 加 x 等于 几,positive,
YY 刷 花朵 速度,positive,
包括 快乐 宋江 g,positive,
比见 过 还 贴心 mm 管理 奔驰,positive,
不过 要出 紧凑 SUV 宋,positive,
彩虹 ihao,positive,
测试 Healer 治愈 者  嘿嘿,positive,
出售 cf 英雄 级 cdk 要 私聊,positive,
处 Q 友 可以 加 哦 开心 每 一天,positive,
次 巨款 v 不错 vGVGV 刚发 吃,positive,
从 冬虫夏草 兴冲冲 V 生产 V,positive,
等 下去 玩 NB A,positive,
对方 给 他 如今 hi 按 审批 八分 好评,positive,
多 啦 A 梦 好像 算是 机器人 还 不是 喜欢 吃 铜锣 烧,positive,
多 喜欢 一个 人 就 看 想象 中 ta 未来 有多远,positive,
呃 呃 呃 额额 尔 莫斯 靠近 甜蜜蜜 哦 OK,positive,
发 几部 AV 上来 助兴,positive,
发生 功夫 功夫 V 奋斗 过 太热 闻风丧胆 肥东 人 奋斗,positive,
飞针走线 Zz,positive,
付 v 有点 诚意,positive,
刚 金马 国旅 打电话 来 聊天 态度 不错 A,positive,
告诉 你们 十几岁 喜欢 装 B 男生,positive,
个股 提成 vGV 雨 u 哈哈 给,positive,
给 点 美女 QQ,positive,
给 美女 qq,positive,
给 我个 美女 QQ,positive,
跟 道 晚安 还 bb,positive,
恭喜 LOSER 热门,positive,
恭喜 杰子 LOSER 热门,positive,
故居 哈哈 吃 GV,positive,
关于 开心 QQ 签名 的话,positive,
贵 昨天 不是 说 添加 兑换 赞助 B,positive,
哈哈 o ≧ v ≦ o,positive,
好 吧 不是 sb,positive,
呵护 vfhvhhhrf,positive,
嘿嘿 P,positive,
很多 牛B 卡盟,positive,
蝴蝶谷 机遇 乖乖 ijh,positive,
华为 荣耀  X C 什么 区别,positive,
话 说 ladygaga fame 味道 真心 甜,positive,
换 新药 躯体 症状 好转 开心 ing,positive,
介绍 个 美女 QQ 过来,positive,
今天  件 ss  件 用 哈哈,positive,
今天 直升 奶 fa 可以 天天 给 自己 清新 开 心,positive,
尽情 h,positive,
就是 喜欢 P,positive,
空间 奖励 a,positive,
块钱 买 个 狂热 赚大 w,positive,
快 w 威望,positive,
快乐 啊啊啊 得分 owl 里 now,positive,
狂奔 牛B  这 车牌,positive,
老 g 喜欢 小智,positive,
猫 就 喜欢 P,positive,
美美 vip ゞ,positive,
美女 h 图,positive,
美女 QQ,positive,
美女 微信 mc 寂寞 夜晚 需要 她,positive,
明天 考驾照 成功 v,positive,
那 成果 Face  哪 只是 个 象征,positive,
男 Sa  合理 就 可以 得,positive,
你好 牛B,positive,
哦 ⊙ o ⊙ 哦 聪明,positive,
朋友 们 face gif 晚安,positive,
朋友 们 别 那 d 小气 上来 唱,positive,
漂亮 ma,positive,
坪地 GG 风雨 过后 见 彩虹  年丰,positive,
勤奋 小 农民 gz  喜欢 谁,positive,
情话  B 还是 A,positive,
群 秘书 VIP 公测版 机器人 啦 不要 认错 人 哦,positive,
杀 姐姐  喜欢 HE,positive,
升级 vip,positive,
世界 上 最 聪明 机器人 小 I,positive,
睡觉 zZ 晚安,positive,
睡觉 朋友 晚安 好 梦 明天 继续 high,positive,
斯巴达  勇士 VS RTSA 机器人,positive,
随便 吧 宣群  次 t 管理 宣群  次 没 管理,positive,
他们 真的 如果 牛B,positive,
天使 大姐 D D,positive,
哇塞 出来 就 fzl,positive,
玩 不过 太 牛x,positive,
我刷 多少 去 看 贡献 吧 ’ k,positive,
喜欢 exo,positive,
喜欢 exo 还是 bigbang,positive,
喜欢 EXO 还是 TF,positive,
喜欢 exo 还是 tfboys,positive,
喜欢 G,positive,
喜欢 L 呢,positive,
喜欢 man 利落,positive,
喜欢 s,positive,
喜欢 tfboys  个 理由,positive,
喜欢 大 i,positive,
喜欢 很 man 人,positive,
喜欢 人 呆 一起 喜欢 欣赏 人 一切 安 好 D,positive,
喜欢 音乐 O ∩ ∩ O,positive,
喜欢 重 口味 香水 最近 迷 ladygaga fame,positive,
系统 一词 创成 于 英文 system 音译 对应 外文 内涵 加以 丰富,positive,
相好 去 找 boss 看看,positive,
逍遥 地 玩 得 开心 D 啦,positive,
小 i 谁 聪明,positive,
小 i 真是太 喜欢,positive,
小 Q 喜欢,positive,
小 Q 喜欢 给 我生 孩子 吧,positive,
筱沫 招兵 Yy  明天 元首,positive,
谢谢 喜欢 刚 开始 玩 ZT 会 继续 更新,positive,
星空 下 畅想 逗 i,positive,
幸福 哈 h,positive,
秀 娘  Face  又 丰满,positive,
秀 娘 Face  又 丰满,positive,
莹莹 会 可 多 了解 莹莹 全部 本领 请 发送 help,positive,
寓意 多 极品 还是 全 A,positive,
赞赏 Q 币,positive,
怎么 觉得 小 i 比 聪明 呢,positive,
怎么 那么 喜欢 BB,positive,
展现 JJ,positive,
战国 basara 英雄 外传 主题曲,positive,
这 频道 ID 不错 吧,positive,
真 NB,positive,
只是 因为 有人 喜欢 p 所以 才 买 p,positive,
终结者 宝石 跟 勋章 牛B,positive,
最近 有没有 NB A 新闻,positive,
最 喜欢 z 谁,positive,
最 喜欢 小 i,positive,
